IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.106.156,443,TRUE,SIN,Asia Pacific,Singapore,73 ms,31144 kB/s
8.219.111.147,443,TRUE,SIN,Asia Pacific,Singapore,71 ms,30145 kB/s
8.219.106.156,443,TRUE,SIN,Asia Pacific,Singapore,70 ms,29842 kB/s
8.219.174.142,443,TRUE,SIN,Asia Pacific,Singapore,69 ms,29535 kB/s
8.219.111.147,443,TRUE,SIN,Asia Pacific,Singapore,74 ms,28450 kB/s
8.219.114.201,443,TRUE,SIN,Asia Pacific,Singapore,79 ms,27948 kB/s
8.219.237.250,443,TRUE,SIN,Asia Pacific,Singapore,69 ms,27720 kB/s
8.219.237.250,443,TRUE,SIN,Asia Pacific,Singapore,70 ms,23258 kB/s
8.222.193.65,443,TRUE,SIN,Asia Pacific,Singapore,85 ms,22529 kB/s
8.219.0.162,443,TRUE,SIN,Asia Pacific,Singapore,69 ms,22256 kB/s
8.222.181.117,443,TRUE,SIN,Asia Pacific,Singapore,70 ms,22026 kB/s
8.222.193.65,443,TRUE,SIN,Asia Pacific,Singapore,64 ms,21507 kB/s
47.236.130.95,443,TRUE,SIN,Asia Pacific,Singapore,74 ms,21263 kB/s
8.219.126.240,443,TRUE,SIN,Asia Pacific,Singapore,75 ms,21005 kB/s
8.219.222.98,443,TRUE,SIN,Asia Pacific,Singapore,69 ms,20962 kB/s
8.219.222.98,443,TRUE,SIN,Asia Pacific,Singapore,66 ms,20923 kB/s
8.222.181.117,443,TRUE,SIN,Asia Pacific,Singapore,74 ms,20840 kB/s
8.222.208.38,443,TRUE,SIN,Asia Pacific,Singapore,63 ms,20341 kB/s
8.222.181.139,443,TRUE,SIN,Asia Pacific,Singapore,66 ms,20309 kB/s
47.236.130.95,443,TRUE,SIN,Asia Pacific,Singapore,74 ms,20076 kB/s
8.219.126.240,443,TRUE,SIN,Asia Pacific,Singapore,71 ms,19914 kB/s
8.219.170.232,443,TRUE,SIN,Asia Pacific,Singapore,81 ms,19387 kB/s
8.222.208.38,443,TRUE,SIN,Asia Pacific,Singapore,76 ms,19305 kB/s
8.219.174.142,443,TRUE,SIN,Asia Pacific,Singapore,69 ms,18540 kB/s
8.219.0.162,443,TRUE,SIN,Asia Pacific,Singapore,66 ms,18262 kB/s
8.219.170.232,443,TRUE,SIN,Asia Pacific,Singapore,74 ms,16631 kB/s
8.222.181.139,443,TRUE,SIN,Asia Pacific,Singapore,68 ms,15402 kB/s
138.2.104.102,443,TRUE,SIN,Asia Pacific,Singapore,102 ms,14076 kB/s
138.2.104.102,443,TRUE,SIN,Asia Pacific,Singapore,114 ms,13562 kB/s
8.219.114.201,443,TRUE,SIN,Asia Pacific,Singapore,83 ms,12990 kB/s
